════════════════════════════════════════════════════════════════════════════════════════════════════
REPORTE DE MENSAJES - SNU: 019929bf-ee7e-7364-b808-26f24f353a5b
════════════════════════════════════════════════════════════════════════════════════════════════════

📊 Resumen:
  • Total de mensajes: 409
  • Rango temporal: 2026-01-21 12:29:01.331 → 2026-01-26 03:06:29.576
  • Dispositivos únicos (SNU): 1

────────────────────────────────────────────────────────────────────────────────────────────────────

Timestamp               | Topic                                              | SID          | TSP          | LOG  | DVS  | LID      | STS      | LGC       | XST    | NST    | RSS 
------------------------+----------------------------------------------------+--------------+--------------+------+------+----------+----------+-----------+--------+--------+-----
2026-01-21 12:29:01.331 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994128   | 1    | 3    | N/A      | 2632     | 792400    | -200   | 200    | 20  
2026-01-21 12:30:59.432 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994128   | 1    | 3    | N/A      | 2632     | 792400    | -200   | 200    | 20  
2026-01-21 12:51:56.157 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994128   | 1    | 3    | N/A      | 2632     | 792400    | -200   | 200    | 20  
2026-01-21 12:55:26.312 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994128   | 1    | 3    | N/A      | 2632     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:12.217 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994188   | 1    | 3    | N/A      | 2692     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:14.697 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994248   | 1    | 3    | N/A      | 2752     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:16.776 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994309   | 1    | 3    | N/A      | 2813     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:18.937 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994369   | 1    | 3    | N/A      | 2873     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:21.704 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994429   | 1    | 3    | N/A      | 2933     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:23.737 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994490   | 1    | 3    | N/A      | 2994     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:25.821 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994550   | 1    | 3    | N/A      | 3054     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:28.052 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994611   | 1    | 3    | N/A      | 3115     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:30.057 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994671   | 1    | 3    | N/A      | 3175     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:32.249 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994731   | 1    | 3    | N/A      | 3235     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:34.302 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994792   | 1    | 3    | N/A      | 3296     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:36.448 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994852   | 1    | 3    | N/A      | 3356     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:38.497 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994912   | 1    | 3    | N/A      | 3416     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:40.647 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768994973   | 1    | 3    | N/A      | 3477     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:42.719 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768995033   | 1    | 3    | N/A      | 3537     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:44.796 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768995094   | 1    | 3    | N/A      | 3598     | 792400    | -200   | 200    | 20  
2026-01-21 13:04:46.877 | cooler_mqtt/ics/019929bf-ee7e-7364-b808-26f24f353a | 1768991496   | 1768995154   | 1    | 3    | N/A      | 3658     | 792400    | -200   | 200    | 20  
